code_module,code_presentation,id_student,gender,highest_education,age_band,final_result
AAA,2013J,256815,2,2,1,1
AAA,2013J,262011,2,1,2,1
AAA,2013J,262934,1,1,2,1
AAA,2013J,268073,2,1,2,0
AAA,2013J,271251,2,1,2,1
AAA,2013J,281022,1,1,1,1
AAA,2013J,281589,2,2,1,0
AAA,2013J,282821,2,1,2,1
AAA,2013J,286488,2,1,2,1
AAA,2013J,287548,2,1,1,1
AAA,2013J,290201,2,1,1,1
AAA,2013J,290757,2,1,1,1
AAA,2013J,293699,2,1,1,1
AAA,2013J,294570,2,2,3,1
AAA,2013J,294594,2,1,1,1
AAA,2013J,295741,2,1,2,0
AAA,2013J,298696,1,2,1,1
AAA,2013J,300398,2,1,2,1
AAA,2013J,302302,1,1,1,0
AAA,2013J,305152,2,1,1,0
AAA,2013J,305386,2,1,1,1
AAA,2013J,306107,2,1,2,1
AAA,2013J,306466,2,1,2,1
AAA,2013J,306897,1,1,1,1
AAA,2013J,307061,1,2,1,1
AAA,2013J,307866,2,1,1,1
AAA,2013J,311917,2,1,3,1
AAA,2013J,312782,2,1,1,1
AAA,2013J,318933,1,2,1,1
AAA,2013J,319047,1,1,1,1
AAA,2013J,321942,2,2,3,1
AAA,2013J,324002,2,2,2,1
AAA,2013J,324084,1,1,2,1
AAA,2013J,324282,2,1,1,1
AAA,2013J,332789,1,1,2,1
AAA,2013J,333059,2,1,1,1
AAA,2013J,333323,2,2,1,1
AAA,2013J,334259,1,1,1,0
AAA,2013J,336207,2,1,1,1
AAA,2013J,339972,2,1,1,1
AAA,2013J,342972,2,2,1,1
AAA,2013J,343446,2,2,2,1
AAA,2013J,344282,2,1,1,0
AAA,2013J,345068,2,1,1,1
AAA,2013J,346025,2,1,1,1
AAA,2013J,346843,1,2,2,0
AAA,2013J,350188,2,2,2,1
AAA,2013J,357668,2,1,1,0
AAA,2013J,365244,1,1,1,1
AAA,2013J,366483,2,2,1,1
AAA,2013J,368194,1,1,1,1
AAA,2013J,368824,2,2,2,0
AAA,2013J,376581,1,1,2,1
AAA,2013J,380953,2,1,1,1
AAA,2013J,383254,2,1,1,1
AAA,2013J,386952,2,1,1,1
AAA,2013J,388885,2,1,2,1
AAA,2013J,392756,2,1,1,0
AAA,2013J,392931,1,1,2,1
AAA,2013J,393207,2,1,1,1
AAA,2013J,396872,2,2,1,1
AAA,2013J,405088,2,1,1,1
AAA,2013J,414117,2,1,1,1
AAA,2013J,420087,2,1,1,0
AAA,2013J,429958,1,1,1,1
AAA,2013J,441018,1,1,1,1
AAA,2013J,441888,2,1,1,1
AAA,2013J,489455,1,1,1,1
AAA,2013J,494424,1,1,1,0
AAA,2013J,495284,2,2,1,1
AAA,2013J,498857,2,2,2,1
AAA,2013J,508818,2,1,1,1
AAA,2013J,512460,2,2,1,1
AAA,2013J,544103,2,2,1,1
AAA,2013J,550383,2,2,1,1
AAA,2013J,564450,2,2,1,0
AAA,2013J,572652,2,2,1,1
AAA,2013J,580389,2,2,1,1
AAA,2013J,581129,2,1,1,0
AAA,2013J,588775,2,1,1,1
AAA,2013J,591774,2,3,2,1
AAA,2013J,606143,2,3,2,0
AAA,2013J,704156,2,2,3,1
AAA,2013J,905042,1,1,2,1
AAA,2013J,949618,1,1,2,1
AAA,2013J,958987,2,2,2,1
AAA,2013J,968578,1,1,2,1
AAA,2013J,971027,1,2,2,1
AAA,2013J,978739,2,2,2,1
AAA,2013J,1105478,2,2,3,1
AAA,2013J,1401935,2,1,2,0
AAA,2013J,1402638,1,2,2,1
AAA,2013J,1414443,1,1,2,0
AAA,2013J,1465690,2,2,2,1
AAA,2013J,1488959,2,1,2,1
AAA,2013J,1620151,2,2,2,0
AAA,2013J,1640609,2,1,2,1
AAA,2013J,1729319,1,2,2,1
AAA,2013J,1746134,2,1,2,1
AAA,2013J,1765788,2,2,3,1
AAA,2013J,1801229,2,2,2,1
AAA,2013J,1801641,2,1,2,1
AAA,2013J,1889511,2,1,2,1
AAA,2013J,1889577,1,1,2,1
AAA,2013J,1894188,1,1,1,1
AAA,2013J,1938355,2,1,2,1
AAA,2013J,2011876,1,1,1,1
AAA,2013J,2062879,1,1,1,0
AAA,2013J,2080474,1,1,2,1
AAA,2013J,2083877,1,1,1,1
AAA,2013J,2146792,2,2,3,1
AAA,2013J,2153153,1,1,1,1
AAA,2013J,2164705,1,1,1,0
AAA,2013J,2171627,1,1,2,1
AAA,2013J,2182846,1,1,2,1
AAA,2013J,2194100,1,1,2,1
AAA,2013J,2197016,1,2,2,1
AAA,2013J,2208424,2,1,1,1
AAA,2013J,2229865,1,1,2,1
AAA,2013J,2268379,1,1,1,1
AAA,2013J,2293923,2,1,1,1
AAA,2013J,2344901,1,1,1,0
AAA,2013J,2358056,1,2,1,0
AAA,2013J,2364471,1,2,1,1
AAA,2013J,2367155,1,1,1,1
AAA,2013J,2376496,1,1,1,1
AAA,2013J,2411661,1,1,1,0
AAA,2013J,2412967,1,1,2,1
AAA,2013J,2437837,1,1,1,1
AAA,2013J,2449878,1,1,1,1
AAA,2013J,2460080,2,2,3,1
AAA,2013J,2461190,2,2,3,0
AAA,2013J,2479954,2,1,1,1
AAA,2013J,2486127,1,2,1,1
AAA,2013J,2516503,2,2,2,1
AAA,2013J,2518069,2,1,1,1
AAA,2013J,2523736,2,1,3,1
AAA,2013J,2529279,1,2,2,1
AAA,2013J,2532302,1,1,1,1
AAA,2013J,2550279,1,2,2,1
AAA,2013J,2555340,1,2,2,1
AAA,2013J,2557283,2,2,3,1
AAA,2013J,2562034,2,1,1,1
AAA,2013J,2566163,1,1,1,1
AAA,2013J,2566592,1,1,2,1
AAA,2013J,2574528,2,2,2,1
AAA,2013J,2578995,1,1,1,1
AAA,2013J,2594139,1,1,1,1
AAA,2013J,2598871,1,1,2,1
AAA,2013J,2599352,1,1,1,1
AAA,2013J,2600688,2,1,1,1
AAA,2013J,2606098,1,1,1,1
AAA,2013J,2617002,1,1,1,1
AAA,2013J,2620584,2,1,1,0
AAA,2013J,2639449,2,1,1,1
AAA,2013J,2639540,1,1,2,1
AAA,2013J,2643002,1,1,2,1
AAA,2013J,2645733,1,1,1,1
AAA,2013J,2650282,2,1,2,1
AAA,2013J,2664024,2,2,2,1
AAA,2013J,2666246,2,1,1,1
AAA,2013J,2669816,2,1,1,0
AAA,2013J,2671132,2,2,3,1
AAA,2013J,2676809,1,2,1,0
AAA,2013J,2678643,1,1,1,1
AAA,2013J,2688067,2,1,1,1
AAA,2013J,2691244,2,1,2,1
AAA,2013J,2694424,2,1,2,1
AAA,2014J,6516,2,2,3,1
AAA,2014J,31600,1,1,1,1
AAA,2014J,46844,2,2,2,1
AAA,2014J,55104,1,1,1,1
AAA,2014J,58071,2,2,3,1
AAA,2014J,58316,1,1,1,1
AAA,2014J,62487,1,1,1,1
AAA,2014J,63165,2,1,2,1
AAA,2014J,65002,1,1,1,0
AAA,2014J,70011,1,2,1,1
AAA,2014J,75255,2,1,1,1
AAA,2014J,85144,2,1,2,1
AAA,2014J,107489,1,2,1,1
AAA,2014J,108872,2,2,3,1
AAA,2014J,109155,1,2,1,1
AAA,2014J,111512,2,1,1,0
AAA,2014J,117818,1,1,2,1
AAA,2014J,121349,1,1,2,1
AAA,2014J,125018,2,2,2,1
AAA,2014J,130034,1,1,2,1
AAA,2014J,130547,1,1,2,1
AAA,2014J,130636,2,1,1,1
AAA,2014J,131390,2,1,2,1
AAA,2014J,133816,1,1,2,1
AAA,2014J,139033,2,1,2,0
AAA,2014J,141377,2,1,1,1
AAA,2014J,141506,2,1,2,0
AAA,2014J,148993,1,1,2,1
AAA,2014J,149741,1,1,2,1
AAA,2014J,149962,2,1,1,1
AAA,2014J,164944,1,1,1,1
AAA,2014J,165226,1,1,1,0
AAA,2014J,167961,2,2,3,1
AAA,2014J,174024,2,1,2,1
AAA,2014J,174745,1,1,2,1
AAA,2014J,175447,2,1,2,1
AAA,2014J,188278,2,1,2,1
AAA,2014J,199636,2,1,2,1
AAA,2014J,199897,2,2,2,1
AAA,2014J,200804,2,1,1,1
AAA,2014J,205494,2,2,2,1
AAA,2014J,228383,2,2,1,1
AAA,2014J,235507,2,1,1,1
AAA,2014J,236875,2,1,1,1
AAA,2014J,237274,2,1,1,1
AAA,2014J,244246,1,1,1,1
AAA,2014J,252073,1,1,2,1
AAA,2014J,263251,2,1,2,1
AAA,2014J,266524,1,1,1,1
AAA,2014J,268733,2,1,1,0
AAA,2014J,275792,1,2,1,1
AAA,2014J,277123,1,1,2,0
AAA,2014J,281077,1,2,1,1
AAA,2014J,281636,1,1,1,1
AAA,2014J,285315,2,2,1,1
AAA,2014J,287040,1,1,2,1
AAA,2014J,287204,2,1,1,1
AAA,2014J,287210,2,1,2,1
AAA,2014J,288994,2,1,1,0
AAA,2014J,289449,2,2,2,1
AAA,2014J,290164,1,2,2,1
AAA,2014J,292525,2,1,1,1
AAA,2014J,292775,2,1,1,1
AAA,2014J,293824,1,1,2,1
AAA,2014J,294496,2,1,2,1
AAA,2014J,294655,2,1,2,0
AAA,2014J,295060,2,1,1,0
AAA,2014J,295075,2,2,3,1
AAA,2014J,296424,2,1,2,1
AAA,2014J,298034,2,1,2,0
AAA,2014J,298838,1,1,1,1
AAA,2014J,301967,2,1,1,1
AAA,2014J,303521,1,1,2,1
AAA,2014J,303985,1,2,1,1
AAA,2014J,304465,1,1,1,1
AAA,2014J,306646,2,1,1,1
AAA,2014J,309142,1,1,2,1
AAA,2014J,310412,1,1,2,1
AAA,2014J,311235,2,1,2,1
AAA,2014J,311659,2,1,1,0
AAA,2014J,313937,2,2,2,1
AAA,2014J,315076,2,1,1,1
AAA,2014J,323370,1,1,1,1
AAA,2014J,328024,2,1,2,1
AAA,2014J,329659,1,1,1,0
AAA,2014J,332884,2,1,1,1
AAA,2014J,334441,2,2,1,0
AAA,2014J,335247,2,1,1,1
AAA,2014J,335764,1,1,1,1
AAA,2014J,338407,2,1,2,1
AAA,2014J,342007,1,2,1,1
AAA,2014J,345440,2,2,1,1
AAA,2014J,345519,1,1,1,1
AAA,2014J,346118,1,1,2,1
AAA,2014J,348807,2,1,2,1
AAA,2014J,350156,2,1,1,1
AAA,2014J,351336,1,1,1,1
AAA,2014J,353665,2,1,2,1
AAA,2014J,354170,1,1,1,0
AAA,2014J,356170,2,2,1,1
AAA,2014J,364957,1,2,2,1
AAA,2014J,371710,2,2,1,1
AAA,2014J,373872,1,1,1,1
AAA,2014J,375260,2,2,1,1
AAA,2014J,375646,2,1,1,1
AAA,2014J,383600,2,1,1,1
AAA,2014J,383723,2,2,3,1
AAA,2014J,384203,2,2,1,1
AAA,2014J,387533,2,2,2,0
AAA,2014J,388147,1,1,2,0
AAA,2014J,390890,2,1,1,1
AAA,2014J,398171,1,1,1,1
AAA,2014J,398349,1,2,1,1
AAA,2014J,400682,1,1,1,1
AAA,2014J,401404,2,1,1,1
AAA,2014J,402204,2,1,2,1
AAA,2014J,402727,1,1,1,1
AAA,2014J,404356,1,1,1,1
AAA,2014J,406671,2,1,2,1
AAA,2014J,409100,2,2,2,1
AAA,2014J,409703,2,1,1,1
AAA,2014J,410092,1,1,2,1
AAA,2014J,411971,2,1,1,1
AAA,2014J,415969,2,2,2,0
AAA,2014J,418731,2,1,1,0
AAA,2014J,421455,1,1,1,1
AAA,2014J,424577,2,2,1,1
AAA,2014J,431025,2,1,1,0
AAA,2014J,439305,2,1,2,1
AAA,2014J,442064,1,2,1,1
AAA,2014J,442132,2,2,1,1
AAA,2014J,446108,2,1,1,1
AAA,2014J,447481,2,1,1,1
AAA,2014J,470982,1,2,2,1
AAA,2014J,481022,2,1,1,0
AAA,2014J,483800,1,1,1,1
AAA,2014J,484897,1,1,1,1
AAA,2014J,485962,1,2,1,1
AAA,2014J,488990,2,1,2,1
AAA,2014J,500113,2,1,1,1
AAA,2014J,503889,1,1,1,1
AAA,2014J,518808,1,2,1,1
AAA,2014J,533068,2,2,1,1
AAA,2014J,537081,1,2,1,0
AAA,2014J,544253,2,1,2,1
AAA,2014J,548120,2,2,1,1
AAA,2014J,570317,2,1,1,1
AAA,2014J,574505,1,2,1,1
AAA,2014J,588477,2,2,1,1
AAA,2014J,593987,1,2,2,0
AAA,2014J,596288,1,2,1,1
AAA,2014J,603834,1,2,1,1
AAA,2014J,623840,2,1,1,1
AAA,2014J,626240,2,2,1,1
AAA,2014J,637665,1,2,1,1
AAA,2014J,639053,2,1,1,1
AAA,2014J,677186,2,2,1,1
AAA,2014J,677281,2,1,1,0
AAA,2014J,684180,2,2,1,1
AAA,2014J,687698,2,2,1,1
AAA,2014J,852847,2,1,3,0
AAA,2014J,998493,1,1,3,1
AAA,2014J,1112555,1,1,2,1
AAA,2014J,1268696,2,2,2,1
AAA,2014J,1336190,2,2,3,1
AAA,2014J,1352868,2,1,2,1
AAA,2014J,1471214,2,1,2,1
AAA,2014J,1484804,1,1,2,1
AAA,2014J,1511033,2,1,2,1
AAA,2014J,1609002,1,1,2,1
AAA,2014J,1715896,2,1,2,1
AAA,2014J,1757766,1,1,2,1
AAA,2014J,1773377,2,1,2,1
AAA,2014J,1799111,2,1,2,1
AAA,2014J,1818673,1,2,2,0
AAA,2014J,1947156,1,1,2,1
AAA,2014J,1967783,1,1,2,1
AAA,2014J,2010232,1,1,1,1
AAA,2014J,2045084,2,2,2,0
AAA,2014J,2085209,1,2,2,1
AAA,2014J,2086400,2,1,2,1
AAA,2014J,2139353,2,1,2,1
AAA,2014J,2277857,1,1,2,1
AAA,2014J,2297896,1,1,2,1
AAA,2014J,2318055,2,1,2,1
AAA,2014J,2355470,2,1,2,1
AAA,2014J,2358969,1,1,1,1
AAA,2014J,2369415,2,1,2,1
AAA,2014J,2375975,1,1,2,1
AAA,2014J,2425993,2,2,1,1
AAA,2014J,2429854,2,1,2,0
AAA,2014J,2432796,1,2,2,1
AAA,2014J,2434159,2,1,1,1
AAA,2014J,2436812,1,1,1,0
AAA,2014J,2467267,2,2,1,1
AAA,2014J,2470694,1,2,3,0
AAA,2014J,2473538,1,1,2,1
AAA,2014J,2494700,2,2,1,1
AAA,2014J,2500258,1,1,1,1
AAA,2014J,2509639,2,1,1,1
AAA,2014J,2521865,1,1,2,1
AAA,2014J,2522927,1,1,2,1
AAA,2014J,2551797,1,1,1,1
AAA,2014J,2569324,2,1,1,1
AAA,2014J,2574990,1,2,2,0
AAA,2014J,2576122,2,1,2,0
AAA,2014J,2584873,1,1,1,1
AAA,2014J,2596621,2,1,3,1
AAA,2014J,2601889,2,2,2,1
AAA,2014J,2606802,2,1,1,0
AAA,2014J,2624961,1,1,1,0
AAA,2014J,2633226,2,1,2,1
AAA,2014J,2642616,1,1,2,1
AAA,2014J,2648611,1,1,2,1
AAA,2014J,2677624,2,1,2,1
AAA,2014J,2680312,2,2,3,1
AAA,2014J,2694788,1,1,2,0
BBB,2013B,31663,2,1,2,1
BBB,2013B,34229,1,1,2,1
BBB,2013B,34353,2,1,2,0
BBB,2013B,34863,1,1,1,1
BBB,2013B,58089,1,1,1,0
BBB,2013B,62631,1,1,1,0
BBB,2013B,71433,1,1,1,0
BBB,2013B,83254,1,2,2,1
BBB,2013B,84664,1,1,2,1
BBB,2013B,87732,2,1,2,1
BBB,2013B,91322,1,1,2,1
BBB,2013B,92832,1,1,1,1
BBB,2013B,97154,1,1,1,1
BBB,2013B,98313,1,2,2,1
BBB,2013B,108589,1,1,1,1
BBB,2013B,110881,1,1,1,1
BBB,2013B,117071,2,1,2,0
BBB,2013B,123860,1,1,2,1
BBB,2013B,126322,1,1,2,1
BBB,2013B,133155,1,2,2,1
BBB,2013B,145544,2,1,1,1
BBB,2013B,147876,2,1,1,0
BBB,2013B,151697,1,1,1,1
BBB,2013B,152910,2,1,1,1
BBB,2013B,154125,1,1,1,0
BBB,2013B,154540,1,2,1,1
BBB,2013B,156835,1,1,2,1
BBB,2013B,165243,2,1,2,1
BBB,2013B,173316,1,1,1,0
BBB,2013B,183806,1,1,2,0
BBB,2013B,186670,1,2,2,0
BBB,2013B,192424,2,1,2,1
BBB,2013B,197595,1,2,2,1
BBB,2013B,199520,1,2,1,1
BBB,2013B,200905,1,2,1,0
BBB,2013B,203108,1,1,1,0
BBB,2013B,203652,1,1,1,0
BBB,2013B,226374,2,1,2,0
BBB,2013B,226827,1,1,1,1
BBB,2013B,237304,2,1,1,0
BBB,2013B,237913,1,1,1,0
BBB,2013B,248103,1,1,1,1
BBB,2013B,249534,1,1,2,1
BBB,2013B,252340,1,1,1,0
BBB,2013B,262454,1,1,1,0
BBB,2013B,262741,1,1,1,1
BBB,2013B,267761,1,1,1,1
BBB,2013B,270567,1,1,1,1
BBB,2013B,273731,1,1,1,1
BBB,2013B,277733,1,2,1,1
BBB,2013B,278447,1,1,1,1
BBB,2013B,280962,1,1,1,0
BBB,2013B,284076,1,1,1,1
BBB,2013B,285633,1,2,1,0
BBB,2013B,285912,1,2,2,1
BBB,2013B,290550,1,1,1,1
BBB,2013B,294961,1,1,1,1
BBB,2013B,295754,1,1,1,1
BBB,2013B,297484,1,1,1,1
BBB,2013B,298322,1,2,2,1
BBB,2013B,298476,1,1,1,1
BBB,2013B,315186,1,1,2,1
BBB,2013B,316841,1,1,2,1
BBB,2013B,318056,1,1,1,1
BBB,2013B,322745,1,1,1,0
BBB,2013B,323914,1,1,1,0
BBB,2013B,325511,1,1,1,1
BBB,2013B,326012,1,1,1,0
BBB,2013B,329226,2,2,1,1
BBB,2013B,329800,2,1,1,1
BBB,2013B,331354,1,1,1,1
BBB,2013B,331844,1,1,2,1
BBB,2013B,335421,1,1,1,0
BBB,2013B,335910,1,1,1,0
BBB,2013B,338861,1,1,1,0
BBB,2013B,339379,1,1,1,1
BBB,2013B,341509,1,1,1,1
BBB,2013B,349424,1,1,2,0
BBB,2013B,351271,1,2,1,1
BBB,2013B,355998,1,1,1,0
BBB,2013B,357038,1,2,1,0
BBB,2013B,357928,1,1,1,0
BBB,2013B,360877,2,2,1,1
BBB,2013B,361603,2,1,1,1
BBB,2013B,362760,1,1,1,0
BBB,2013B,365439,1,2,1,0
BBB,2013B,365488,1,1,1,0
BBB,2013B,367304,1,1,1,0
BBB,2013B,374234,1,2,2,1
BBB,2013B,377759,1,1,2,1
BBB,2013B,378462,1,1,2,1
BBB,2013B,378543,2,2,1,1
BBB,2013B,379402,1,1,1,0
BBB,2013B,381640,1,2,1,0
BBB,2013B,384678,2,2,1,0
BBB,2013B,387702,1,1,1,0
BBB,2013B,388205,1,1,1,0
BBB,2013B,388360,1,1,1,0
BBB,2013B,390461,1,2,2,0
BBB,2013B,392428,1,2,2,1
BBB,2013B,392614,1,1,1,0
BBB,2013B,399792,2,2,1,0
BBB,2013B,400049,1,1,1,0
BBB,2013B,400469,1,1,1,1
BBB,2013B,400474,1,1,2,1
BBB,2013B,400894,1,1,1,1
BBB,2013B,401339,1,1,1,1
BBB,2013B,404022,1,1,1,1
BBB,2013B,405995,1,1,1,1
BBB,2013B,411197,1,1,2,0
BBB,2013B,412407,2,1,1,1
BBB,2013B,412654,2,1,1,1
BBB,2013B,414958,1,1,1,1
BBB,2013B,416007,1,1,1,1
BBB,2013B,416654,1,1,2,1
BBB,2013B,417462,1,1,1,0
BBB,2013B,420604,1,1,2,0
BBB,2013B,422070,1,1,1,0
BBB,2013B,423314,2,1,2,0
BBB,2013B,423871,1,1,1,1
BBB,2013B,425747,1,1,1,0
BBB,2013B,425808,1,1,2,1
BBB,2013B,425820,1,1,1,1
BBB,2013B,426650,1,1,1,1
BBB,2013B,427536,1,2,2,1
BBB,2013B,427773,1,1,1,1
BBB,2013B,430357,1,1,1,0
BBB,2013B,432004,1,2,1,0
BBB,2013B,432232,1,2,1,1
BBB,2013B,432870,2,1,1,1
BBB,2013B,433531,1,1,1,1
BBB,2013B,433755,2,1,1,1
BBB,2013B,434094,1,1,1,0
BBB,2013B,434192,1,1,1,1
BBB,2013B,434353,1,2,2,1
BBB,2013B,434646,1,2,1,1
BBB,2013B,438703,1,1,1,1
BBB,2013B,439857,2,1,1,1
BBB,2013B,440509,1,2,1,1
BBB,2013B,441181,1,2,1,1
BBB,2013B,442183,1,1,1,1
BBB,2013B,442456,2,2,2,0
BBB,2013B,442466,1,1,1,1
BBB,2013B,444784,1,1,1,0
BBB,2013B,445125,1,1,1,0
BBB,2013B,445889,1,1,2,1
BBB,2013B,446145,2,1,1,0
BBB,2013B,447759,1,2,2,1
BBB,2013B,465599,1,1,2,1
BBB,2013B,466810,1,1,1,1
BBB,2013B,466959,2,1,1,0
BBB,2013B,467035,1,2,1,1
BBB,2013B,467292,1,1,1,1
BBB,2013B,467756,1,1,1,0
BBB,2013B,468021,1,1,1,0
BBB,2013B,469683,1,1,2,1
BBB,2013B,470318,1,2,1,1
BBB,2013B,471219,1,2,2,0
BBB,2013B,472586,1,2,1,1
BBB,2013B,473095,1,1,1,0
BBB,2013B,475095,2,1,1,1
BBB,2013B,475460,1,1,1,0
BBB,2013B,475688,2,1,1,1
BBB,2013B,476369,1,2,1,1
BBB,2013B,476709,1,2,1,1
BBB,2013B,476859,1,1,1,0
BBB,2013B,477009,1,1,2,0
BBB,2013B,477011,1,1,1,1
BBB,2013B,477164,2,1,1,1
BBB,2013B,479343,1,1,1,1
BBB,2013B,479516,1,2,1,1
BBB,2013B,480382,2,1,2,1
BBB,2013B,480458,2,2,1,0
BBB,2013B,480815,1,1,1,1
BBB,2013B,482710,2,1,2,1
BBB,2013B,482766,1,2,2,1
BBB,2013B,483064,1,1,1,1
BBB,2013B,483109,1,2,1,1
BBB,2013B,483479,1,1,1,0
BBB,2013B,484039,1,1,1,0
BBB,2013B,484933,1,1,2,1
BBB,2013B,485630,1,1,1,1
BBB,2013B,486099,1,1,1,1
BBB,2013B,487329,1,1,1,0
BBB,2013B,488364,1,2,2,0
BBB,2013B,488863,1,1,1,1
BBB,2013B,490152,1,1,1,0
BBB,2013B,492182,1,1,1,1
BBB,2013B,492240,1,1,1,1
BBB,2013B,492946,1,1,1,0
BBB,2013B,493451,1,1,1,0
BBB,2013B,493773,2,1,1,0
BBB,2013B,493958,1,1,1,1
BBB,2013B,494838,1,1,2,0
BBB,2013B,496070,1,1,1,1
BBB,2013B,496243,1,1,1,0
BBB,2013B,496674,1,1,1,0
BBB,2013B,497088,1,1,2,1
BBB,2013B,497468,1,1,1,1
BBB,2013B,498065,1,2,2,1
BBB,2013B,498296,1,1,1,1
BBB,2013B,499118,1,1,2,1
BBB,2013B,499387,1,1,1,1
BBB,2013B,499483,1,1,1,1
BBB,2013B,499931,1,1,1,0
BBB,2013B,500815,1,1,1,1
BBB,2013B,500836,2,1,1,0
BBB,2013B,501550,1,1,1,1
BBB,2013B,501879,1,1,2,1
BBB,2013B,502088,1,1,1,0
BBB,2013B,502604,1,2,1,1
BBB,2013B,502872,1,1,1,0
BBB,2013B,503390,1,1,1,0
BBB,2013B,504028,1,1,1,1
BBB,2013B,505606,1,1,2,1
BBB,2013B,505871,1,1,1,0
BBB,2013B,505959,1,1,2,1
BBB,2013B,506233,1,1,2,1
BBB,2013B,506360,1,1,1,0
BBB,2013B,506753,1,2,2,1
BBB,2013B,507359,1,1,2,1
BBB,2013B,508452,1,2,2,1
BBB,2013B,508537,1,1,1,1
BBB,2013B,509797,1,2,1,0
BBB,2013B,509901,1,1,1,0
BBB,2013B,510756,1,1,1,1
BBB,2013B,511067,1,1,1,1
BBB,2013B,511527,1,1,1,0
BBB,2013B,511693,1,1,1,1
BBB,2013B,512070,1,1,1,0
BBB,2013B,512929,1,1,2,1
BBB,2013B,512995,1,1,1,1
BBB,2013B,513093,1,1,1,1
BBB,2013B,513733,1,1,2,0
BBB,2013B,513757,1,1,2,1
BBB,2013B,514981,1,1,1,0
BBB,2013B,514987,1,1,1,1
BBB,2013B,515311,1,1,1,1
BBB,2013B,515474,1,1,1,1
BBB,2013B,515497,1,1,1,1
BBB,2013B,515959,1,1,1,1
BBB,2013B,516057,1,1,1,1
BBB,2013B,516456,1,1,1,1
BBB,2013B,516475,1,1,1,1
BBB,2013B,517617,1,1,1,1
BBB,2013B,518970,2,1,1,1
BBB,2013B,519222,1,1,1,1
BBB,2013B,519387,1,1,1,0
BBB,2013B,521069,2,1,2,0
BBB,2013B,521764,1,1,2,1
BBB,2013B,522090,1,1,1,1
BBB,2013B,522302,1,1,1,0
BBB,2013B,522373,1,1,1,1
BBB,2013B,523012,1,1,2,1
BBB,2013B,523596,1,1,1,0
BBB,2013B,523966,1,1,1,1
BBB,2013B,524171,1,1,1,0
BBB,2013B,524452,1,1,1,1
BBB,2013B,525869,1,1,1,0
BBB,2013B,527313,1,1,1,0
BBB,2013B,528161,1,1,1,1
BBB,2013B,528250,1,1,1,1
BBB,2013B,528353,1,1,2,1
BBB,2013B,528649,2,1,1,0
BBB,2013B,528904,1,1,1,1
BBB,2013B,529383,1,2,2,0
BBB,2013B,529452,1,1,2,0
BBB,2013B,529502,1,2,2,1
BBB,2013B,530065,1,1,2,1
BBB,2013B,530153,1,2,2,0
BBB,2013B,530226,1,1,1,1
BBB,2013B,530266,1,1,1,0
